Title,DOI,Abstract,URLs,Authors,Item type,Journal,Full journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Proceedings title,Conference,Conference location,Conference date,Date published,Date accessed,ISBN,ISBN (alt.),ISSN,ISSN (alt.),Keywords,Copyright,Affiliation,Language,Series
Haskell in green land: Analyzing the energy behavior of a purely functional language,10.1109/saner.2016.85,"Recent work has studied the effect that factors such as code obfuscation, refactorings and data types have on energy efficiency. In this paper, we attempt to shed light on the energy behavior of programs written in a lazy purely functional language, Haskell. We have conducted two empirical studies to analyze the energy efficiency of Haskell programs from two different perspectives: strictness and concurrency. Our experimental space exploration comprises more than 2000 configurations and 20000 executions. We found out that small changes can make a big difference in terms of energy consumption. For example, in one of our benchmarks, under a specific configuration, choosing one data sharing primitive (MVar) over another (TMVar) can yield 60% energy savings. In another benchmark, the latter primitive can yield up to 30% energy savings over the former. Thus, tools that support developers in quickly refactoring a program to switch between different primitives can be of great help if energy is a concern. In addition, the relationship between energy consumption and performance is not always clear. In sequential benchmarks, high performance is an accurate proxy for low energy consumption. However, for one of our concurrent benchmarks, the variants with the best performance also exhibited the worst energy consumption. To support developers in better understanding this complex relationship, we have extended two existing performance analysis tools to also collect and present data about energy consumption.",http://dx.doi.org/10.1109/saner.2016.85,"Lima LG,Soares-Neto F,Lieuthier P,Castor F,Melfe G,Fernandes JP",Conference Paper,,,2016,,,,IEEE,,,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","2016 IEEE 23rd International Conference on Software Analysis, Evolution and Reengineering (SANER)",Suita,2016/3/14-2016/3/18,2016-03,,9.78151E+12,,,,,,,,
How do code refactorings affect energy usage?,10.1145/2652524.2652538,"Context: Code refactoring's benefits to understandability, maintainability and extensibility are well known enough that automated support for refactoring is now common in IDEs. However, the decision to apply such transformations is currently performed without regard to the impacts of the refactorings on energy consumption. This is primarily due to a lack of information and tools to provide such relevant information to developers. Unfortunately, concerns about energy efficiency are rapidly becoming a high priority concern in many environments, including embedded systems, laptops, mobile devices, and data centers. Goal: We aim to address the lack of information about the energy efficiency impacts of code refactorings. Method: We conducted an empirical study to investigate the energy impacts of 197 applications of 6 commonly-used refactorings. Results: We found that refactorings can not only impact energy usage but can also increase and decrease the amount of energy used by an application. In addition, we also show that metrics commonly believed to correlate with energy usage are unlikely to be able to fully predict the impact of applying a refactoring. Conclusion: The results from this and similar studies could be used to augment IDEs to help software developers build more energy efficient software.",http://dx.doi.org/10.1145/2652524.2652538,"Sahin C,Pollock L,Clause J",Conference Paper,,,2014,,,10-Jan,ACM,"New York, NY, USA",,Proceedings of the 8th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,ESEM '14: 2014 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,Torino Italy,2014/9/18-2014/9/19,9/18/14,,9.78145E+12,,,,,,University of Delaware,,
How does code obfuscation impact energy usage?,10.1109/icsme.2014.35,"Software piracy is an important concern for application developers. Such concerns are especially relevant in mobile application development, where piracy rates can approach 90%. The most commonly used approach by mobile developers for preventing piracy is code obfuscation. However, the decision to apply such transformations is currently made without regard to the impacts of obfuscations on another area of increasing concern for mobile application developers: energy consumption. Because both software piracy and battery life are important concerns, mobile application developers must strike a balance between protecting their applications and preserving the battery lives of their users' devices. To help them make such choices, we conducted an empirical study of the effects of 18 code obfuscations on the amount of energy consumed by executing a total of 15 usage scenarios spread across 11 Android applications. The results of the study indicate that, while obfuscations can have a statistically significant impact on energy usage and are significantly more likely to increase energy usage than to decrease energy usage, the magnitudes of such impacts are unlikely to impact mobile application users.",http://dx.doi.org/10.1109/icsme.2014.35,"Sahin C,Tornquist P,Mckenna R,Pearson Z,Clause J",Conference Paper,,,2014,,,,IEEE,,,2014 IEEE International Conference on Software Maintenance and Evolution,2014 IEEE International Conference on Software Maintenance and Evolution (ICSME),"Victoria, BC, Canada",2014/9/29-2014/10/3,2014-09,,9.78148E+12,,,,,,,,
How does microservice granularity impact energy consumption and performance? A controlled experiment,10.1109/icsa65012.2025.00018,"Context: Microservice architectures are a widely used software deployment approach, with benefits regarding flexibility and scalability. However, their impact on energy consumption is poorly understood, and often overlooked in favor of performance and other quality attributes (QAs). One understudied concept in this area is microservice granularity, i.e., over how many services the system functionality is distributed.Objective: We therefore aim to analyze the relationship between microservice granularity and two critical QAs in microservice-based systems: energy consumption and performance.Method: We conducted a controlled experiment using two open-source microservice-based systems of different scales: the small Pet Clinic system and the large Train Ticket system. For each system, we created three levels of granularity by merging or splitting services (coarse, medium, and fine) and then exposed them to five levels of request frequency.Results: Our findings revealed that: i) granularity significantly affected both energy consumption and response time, e.g., in the large system, fine granularity consumed on average 461 J more energy (13%) and added 5.2 ms to response time (14%) compared to coarse granularity; ii) higher request loads significantly increased both energy consumption and response times, with moving from 40 to 400 requests / s resulting in 651 J higher energy consumption (23%) and 41.2 ms longer response times (98%); iii) there is a complex relationship between granularity, system scale, energy consumption, and performance that warrants careful consideration in microservice design. We derive generalizable takeaways from our results.Conclusion: Microservices practitioners should take our findings into account when making granularity-related decisions, especially for large-scale systems.",http://dx.doi.org/10.1109/icsa65012.2025.00018,"Zhao Y,De Matteis T,Bogner J",Conference Paper,,,2025,,,84-95,IEEE,,,2025 IEEE 22nd International Conference on Software Architecture (ICSA),2025 IEEE 22nd International Conference on Software Architecture (ICSA),"Odense, Denmark",2025/3/31-2025/4/4,3/31/25,,,,,,,,"Vrije Universiteit Amsterdam,Amsterdam,The Netherlands",,
Impacts of data interchange formats on energy consumption and performance in smartphones,10.1145/2016716.2016718,"In this paper, we analyze the impacts of three formats for data interchange, as regards the management of energy and the cost of processing each of the proposed formats in a mobile device; XML, JSON and Protocol Buffers. The tests focused on two network interfaces, WiFi and 3G. The results of this study contribute to the development of mobile applications that require transfer, independently or not, data for a Web Server, like applications of data backup, monitoring of information or any mobile application that synchronizes data with the Web, having as main objectives the impacts of energy and processing in mobile equipment.",http://dx.doi.org/10.1145/2016716.2016718,"Gil B,Trezentos P",Conference Paper,,,2011,,,,ACM,"New York, NY, USA",,Proceedings of the 2011 Workshop on Open Source and Design of Communication,OSDOC '11: Workshop Open Source and Design of Communication,Lisboa Portugal,2011/7/11-2011/7/11,7/11/11,,9.78145E+12,,,,,,"DCTI, ISCTE-IUL, Lisboa, Portugal",,
Initial explorations on design pattern energy usage,10.1109/greens.2012.6224257,"As the use of computers has grown, so too has concern about the amount of power they consume. Data centers, for example, are limited in scalability as they struggle with soaring energy costs from many large companies relying on fast, reliable, and round-the-clock computing services. On large-scale computing clusters, like data centers, even a small drop in power consumption can have large effects. Across computing contexts, reducing power consumed by computers has become a major focus. In this paper, we present a new approach for mapping software design to power consumption and present empirical results of the approach on different software implementations. In particular, we compare the power profiles of software using design patterns against software not using design patterns as a way to explore how high-level design decisions affect an application's energy usage. We show how mappings between software design and power consumption profiles can provide software designers and developers with useful information about the power behavior of the software they are developing. The goal is for software engineers to use this information in designing and developing more energy efficient solutions.",http://dx.doi.org/10.1109/greens.2012.6224257,"Sahin C,Cayci F,Gutierrez IL,Clause J,Kiamilev F,Pollock L,Winbladh K",Conference Paper,,,2012,,,,IEEE,,,2012 First International Workshop on Green and Sustainable Software (GREENS),2012 First International Workshop on Green and Sustainable Software (GREENS),"Zurich, Switzerland",2012/6/3-2012/6/3,2012-06,,9.78147E+12,9.78147E+12,,,,,,,
Investigating the effect of design patterns on energy consumption,10.1002/smr.1851,"AbstractGang of Four (GoF) patterns are well‚Äêknown best practices for the design of object‚Äêoriented systems. In this paper, we aim at empirically assessing their relationship to energy consumption, ie, a performance indicator that has recently attracted the attention of both researchers and practitioners. To achieve this goal, we investigate pattern‚Äêparticipating methods (ie, those that play a role within the pattern) and compare their energy consumption to the consumption of functionally equivalent alternative (nonpattern) solutions. We obtained the alternative solution by refactoring the pattern instances using well‚Äêknown transformations (eg, replace polymorphism with conditional statements). The comparison is performed on 169 methods of 2 GoF patterns (namely, State/Strategy and Template Method), retrieved from 2 well‚Äêknown open source projects. The results suggest that for the majority of cases the alternative design excels in terms of energy consumption. However, in some cases (eg, when the method is large in size or invokes many methods) the pattern solution presents similar or lower energy consumption. The outcome of our study can be useful to both researchers and practitioners, because we: (1) provide evidence on a possible negative effect of GoF patterns, and (2) can provide guidance on which cases the use of the pattern is not hurting energy consumption.",http://dx.doi.org/10.1002/smr.1851,"Feitosa D,Alders R,Ampatzoglou A,Avgeriou P,Nakagawa EY",Journal Article,J. Softw. (Malden),"Journal of Software (Malden, MA)",2017,29,2,e1851,Wiley,,,,,,,2017-02,,,,2047-7473,2047-7481,,http://onlinelibrary.wiley.com/termsAndConditions#vor,Department of Mathematics and Computer Science University of Groningen Groningen The Netherlands; Department of Computer Systems University of S√£o Paulo Butant√£ S√£o Paulo Brazil,en,
Investigating the energy impact of Android smells,10.1109/saner.2017.7884614,"Android code smells are bad implementation practices within Android applications (or apps) that may lead to poor software quality. These code smells are known to degrade the performance of apps and to have an impact on energy consumption. However, few studies have assessed the positive impact on energy consumption when correcting code smells. In this paper, we therefore propose a tooled and reproducible approach, called HOT-PEPPER, to automatically correct code smells and evaluate their impact on energy consumption. Currently, HOT-PEPPER is able to automatically correct three types of Android-specific code smells: Internal Getter/Setter, Member Ignoring Method, and HashMap Usage. HOT-PEPPER derives four versions of the apps by correcting each detected smell independently, and all of them at once. HOT-PEPPER is able to report on the energy consumption of each app version with a single user scenario test. Our empirical study on five open-source Android apps shows that correcting the three aforementioned Android code smells effectively and significantly reduces the energy consumption of apps. In particular, we observed a global reduction in energy consumption by 4,83% in one app when the three code smells are corrected. We also take advantage of the flexibility of HOT-PEPPER to investigate the impact of three picture smells (bad picture format, compression, and bitmap format) in sample apps. We observed that the usage of optimised JPG pictures with the Android default bitmap format is the most energy efficient combination in Android apps. We believe that developers can benefit from our approach and results to guide their refactoring, and thus improve the energy consumption of their mobile apps.",http://dx.doi.org/10.1109/saner.2017.7884614,"Carette A,Younes MA,Hecht G,Moha N,Rouvoy R",Conference Paper,,,2017,,,,IEEE,,,"2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)","2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)","Klagenfurt, Austria",2017/2/20-2017/2/24,2017-02,,9.78151E+12,,,,,,,,
Investigation for Software Power Consumption of Code Refactoring Techniques,,"Code refactoring technique focuses on enhancing the maintainability of software to extend its lifetime. However, there are other efforts to improve software qualities like performance or reliability as well as maintainability by using code refactoring techniques. Recently, as low-power software has become one of the critical issues in mobile environments, developing energy-efficient software through code refactoring becomes an important one. This paper aims to investigate whether the existing refactoring techniques can support energy-efficient software generation or not. The refactored codes generated by the existing techniques can consume more power than original codes because they did not consider the power consumption in their refactoring processes. This paper analyzes the power consumption to investigate the energy efficiency of M. Fowler’s refactoring techniques. Our analysis result can provide useful information about energy-efficient refactoring techniques to software engineers, and support the development of software that has high maintainability and good energy efficiency",https://scispace.com/pdf/investigation-for-software-power-consumption-of-code-20sa7ta5vt.pdf,"Park J-J, Hong J-E, and Lee S-H",Conrerence Paper,,,2014,,,,,,,,,,,,3/23/26,,,,,,,,,
Leafactor: Improving energy efficiency of android apps via automatic refactoring,10.1109/mobilesoft.2017.21,Leafactor is a tool to automatically improve the energy consumption of Android apps. It does so by refactoring the source code to follow a set of patterns known to be energy efficient. The toolset was validated using 222 refactorings in 140 open-source apps. Changes were submitted to the original apps by creating pull requests to the official projects.,http://dx.doi.org/10.1109/mobilesoft.2017.21,"Cruz L,Abreu R,Rouvignac JN",Conference Paper,,,2017,,,,IEEE,,,2017 IEEE/ACM 4th International Conference on Mobile Software Engineering and Systems (MOBILESoft),2017 IEEE/ACM 4th International Conference on Mobile Software Engineering and Systems (MOBILESoft),"Buenos Aires, Argentina",2017/5/22-2017/5/23,2017-05,,9.78154E+12,,,,,,,,
Managing energy consumption as an architectural quality attribute,10.1109/ms.2018.3571227,"A look at the software for an automated weather station shows that energy can be treated like any other architectural quality attribute. It‚Äôs no different, from the perspective of architectural design, than modifiability, performance, or availability. It can be modeled and prototyped, and we can reason about the design tradeoffs required to achieve better energy use.",http://dx.doi.org/10.1109/ms.2018.3571227,"Kazman R,Haziyev S,Yakuba A,Tamburri DA",Journal Article,IEEE Softw.,IEEE Software,2018,35,5,102-107,Institute of Electrical and Electronics Engineers (IEEE),,,,,,,2018-09,,,,0740-7459,1937-4194,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,University of Hawai‚Äôi; SoftServe; Jheronimus Academy of Data Science and Technical University of Eindhoven,,
Methodological guidelines for measuring energy consumption of software applications,10.1155/2019/5284645,"Energy consumption information for devices, as available in the literature, is typically obtained with ad hoc approaches, thus making replication and consumption data comparison difficult. We propose a process for measuring the energy consumption of a software application. The process contains four phases, each providing a structured deliverable that reports the information required to replicate the measurement. The process also guides the researcher on a threat to validity analysis to be included in each deliverable. This analysis ensures better reliability, trust, and confidence to reuse the collected consumption data. Such a process produces a structured consumption data for any kind of electronic device (IoT devices, mobile phones, personal computers, servers, etc.), which can be published and shared with other researchers fostering comparison or further investigations. A real case example demonstrates how to apply the process and how to create the required deliverables.",http://dx.doi.org/10.1155/2019/5284645,"Ardito L,Coppola R,Morisio M,Torchiano M",Journal Article,Sci. Program.,Scientific Programming,2019,2019,,16-Jan,Hindawi Limited,,,,,,,11/23/19,,,,1058-9244,1875-919X,,,"Politecnico di Torino Department of Control and Computer Engineering, Turin, Italy",en,
Model-based energy efficiency analysis of software architectures,10.1007/978-3-319-23727-5_18,"Design-time quality analysis of software architectures evaluates the impact of design decisions in quality dimensions such as performance. Architectural design decisions decisively impact the energy efficiency (EE) of software systems. Low EE not only results in higher operational cost due to power consumption. It indirectly necessitates additional capacity in the power distribution infrastructure of the target deployment environment. Methodologies that analyze EE of software systems are yet to reach an abstraction suited for architecture-level reasoning. This paper outlines a model-based approach for evaluating the EE of software architectures. First, we present a model that describes the central power consumption characteristics of a software system. We couple the model with an existing model-based performance prediction approach to evaluate the consumption characteristics of a software architecture in varying usage contexts. Several experiments show the accuracy of our architecture-level consumption predictions. Energy consumption predictions reach an error of less than 5.5% for stable and 3.7% for varying workloads. Finally, we present a round-trip design scenario that illustrates how the explicit consideration of EE supports software architects in making informed trade-off decisions between performance and EE.",http://dx.doi.org/10.1007/978-3-319-23727-5_18,"Stier C,Koziolek A,Groenda H,Reussner R",Book Chapter,,,2015,,,221-238,Springer International Publishing,Cham,Software Architecture,,,,,2015,,9.78332E+12,9.78332E+12,0302-9743,1611-3349,,,,,Lecture Notes in Computer Science
On Haskell and energy efficiency,10.1016/j.jss.2018.12.014,"Background: Recent work has studied diverse affecting factors on software energy efficiency. Objective: This paper attempts to shed light on the energy behavior of programs written in a lazy, purely functional programming language, Haskell. Methodology: We conducted two in-depth and complementary studies to analyze the energy efficiency of programs from two different perspectives: strictness and concurrency. Results: We found that small changes can make a big difference. In one benchmark, under a specific configuration, choosing the MVar data sharing primitive over TMVar can yield 60% energy savings. In another benchmark, TMVar can yield up to 30% savings over MVar. Thus, tools that support developers in refactoring a program to switch between primitives can be very useful. In addition, the relationship between energy consumption and performance is not always clear. In sequential benchmarks, high performance is an accurate proxy for low energy consumption. However, for one of our concurrent benchmarks, the variants with the best performance also exhibited the worst energy consumption. We report on deviating cases. Conclusions: To support developers, we have extended existing performance analysis tools to also gather and present data about energy consumption. Furthermore, we provide a set of guidelines to help Haskell developers save energy.",http://dx.doi.org/10.1016/j.jss.2018.12.014,"Lima LG,Soares-Neto F,Lieuthier P,Castor F,Melfe G,Fernandes JP",Journal Article,J. Syst. Softw.,The Journal of Systems and Software,2019,149,,554-580,Elsevier BV,,,,,,,2019-03,,,,0164-1212,1873-1228,,,,en,
On revisiting energy and performance in microservices applications: A cloud elasticity-driven approach,10.1016/j.parco.2021.102858,,http://dx.doi.org/10.1016/j.parco.2021.102858,"Fontana de Nardin I,da Rosa Righi R,Lima Lopes TR,Andre da Costa C,Yeom HY,Köstler H",Journal Article,Parallel Comput.,Parallel Computing,2021,108,102858,102858,Elsevier BV,,,,,,,2021-12,,,,0167-8191,1872-7336,,,,en,
On the energy consumption of design patterns,10.1007/s40568-013-0020-6,"In this paper, we pre-
sented a case study that examined the impact of design
pattern application onto a systems energy consumption.
Two groups of apps, either using or not using a pattern,
were developed and measured. The results for a distinct
subset of the Gamma patterns showed, that especially
the decorator pattern has a negative impact on the en-
ergy needs of an app. Due to the low temporal resolution
of the software measurement method, evaluations with
a short runtime are error-prone and the used systems
mightnotberepresentable. However, theinterpretation
of the evaluation results supports our hypothesis and
justifies further research. Using patterns is not always
a good idea. Their selection should not solely be based
onto function and structure but also according other
properties. Although the results of our study are not
generalizable, the results indicate, that further research
is warranted that examines the impact of patterns re-
garding different platforms and applications. Results
can then be used for meta-analysis.
During our study, we were able to support our hy-
potheses but, in turn, also identified issues that warrant
further research. First, the robustness of our approach
regarding the hardware platform has to be evaluated.
Furthermore, it is interesting to take a deeper look into
the characteristics of the energy requirements of other
patterns or idioms. Results might then be used to define
anti-patterns regarding software energy consumption",http://dx.doi.org/10.1007/s40568-013-0020-6,"Bunse C,Stiemer S",Journal Article,Softwaretechnik-Trends,Softwaretechnik-Trends,2013,33,2,5-Apr,Springer Science and Business Media LLC,,,,,,,2013-05,,,,0720-8928,,,,,en,
On the energy footprint of mobile testing frameworks,10.1109/tse.2019.2946163,"High energy consumption is a challenging issue that an ever increasing number of mobile applications face today. However, energy consumption is being tested in an ad hoc way, despite being an important non-functional requirement of an application. Such limitation becomes particularly disconcerting during software testing: on the one hand, developers do not really know how to measure energy; on the other hand, there is no knowledge as to what is the energy overhead imposed by the testing framework. In this paper, as we evaluate eight popular mobile UI automation frameworks, we have discovered that there are automation frameworks that increase energy consumption up to roughly 2200 percent. While limited in the interactions one can do, Espresso is the most energy efficient framework. However, depending on the needs of the tester, Appium, Monkeyrunner, or UIAutomator are good alternatives. In practice, results show that deciding which is the most suitable framework is vital. We provide a decision tree to help developers make an educated decision on which framework suits best their testing needs.",http://dx.doi.org/10.1109/tse.2019.2946163,"Cruz L,Abreu R",Journal Article,IEEE Trans. Softw. Eng.,IEEE Transactions on Software Engineering,2021,47,10,2260-2271,Institute of Electrical and Electronics Engineers (IEEE),,,,,,,10/1/21,,,,0098-5589,1939-3520,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,"Delft University of Technology, Delft, CD, Netherlands; University of Lisbon, Lisboa, Portugal",,
Optimizing energy in fog computing architecture based on offloading mechanism for IoT devices,10.1109/eee-am58328.2023.10395179,"The emergence of the Internet of Things has led to exponential growth in the number of connected devices. These devices generate a vast amount of data that needs to be processed and analyzed, which can be computationally expensive and energy-intensive. To address this issue, fog computing has been introduced as a paradigm that offloads computation from IoT devices to nearby fog and cloud servers, thereby reducing the energy consumption of these devices. Fog computing is a decentralized architecture that brings computation and data storage closer to the edge of the network, enabling faster and more efficient data processing in IoT devices. Offloading, in the context of fog computing architecture, refers to the process of transferring computationally intensive tasks from IoT devices to fog or cloud servers. Offloading computational tasks from IoT devices to fog servers can significantly reduce the energy consumption of these devices. By offloading tasks to more powerful servers at the edge of the network, IoT devices can conserve energy and prolong battery life. This paper explores the concept of offloading in fog computing architecture as a means to achieve energy savings in IoT devices.",http://dx.doi.org/10.1109/eee-am58328.2023.10395179,Le H,Conference Paper,,,2023,,,,IEEE,,,2023 Asia Meeting on Environment and Electrical Engineering (EEE-AM),2023 Asia Meeting on Environment and Electrical Engineering (EEE-AM),"Hanoi, Vietnam",2023/11/13-2023/11/15,11/13/23,,,,,,,,"Electric Power University,Faculty of Information Technology,Hanoi,Vietnam",,
Predicting data structures for energy efficient computing,10.1109/igcc.2015.7393698,"Dynamic data structures in software applications have been shown to have a large impact on system performance. In this paper, we explore energy saving opportunities of interface-based dynamic data structures. Our results suggest that opportunities do exist in the C5 Collection, at least 16.95% and up to 97.50%. We propose an architecture for building adaptive green data structures by applying machine learning tools to build a model for predicting energy efficient data structures. Our neural network model can classify energy efficient data structures based on features such as the number of elements, frequency of operations, interface and set/bag semantics. The 10-fold cross validation results show 96.01% accuracy on the training data and 95.80% on the training validation data. Our n-gram model can accurately predict the most energy efficient data structure sequence in 19 simulated and real-world programs-on average, with more than 50% accuracy and up to 98% using a bigram predictor.",http://dx.doi.org/10.1109/igcc.2015.7393698,"Michanan J,Dewri R,Rutherford MJ",Conference Paper,,,2015,,,,IEEE,,,2015 Sixth International Green and Sustainable Computing Conference (IGSC),2015 Sixth International Green and Sustainable Computing Conference (IGSC),"Las Vegas, NV, USA",2015/12/14-2015/12/16,2015-12,,9.78151E+12,,,,,,,,
"Program energy efficiency: The impact of language, compiler and implementation choices",10.1109/igcc.2014.7039169,"Today reducing the energy usage of computing systems becomes a paramount task, no matter they are lightweight mobile devices, complex cloud computing platforms or large-scale supercomputers. Many existing studies in green computing focus on making the hardware more energy efficient. This is understandable because software running on low-power hardware will automatically consume less energy. Little work has been done to explore how software developers can play a more proactive role in saving energy by writing greener code. In fact, very few programmers consider energy-efficiency when writing code and even fewer know how to evaluate and improve the energy-efficiency of their code. In this paper, we quantitatively study the impact of languages (C/C++/Java/Python), compiler optimization (GNU C/C++ compiler with O1, O2, and O3 flags) and implementation choices (e.g. using malloc instead of new to create dynamic arrays and using vector vs. array for Quicksort) on the energy-efficiency of three well-known programs: Fast Fourier Transform, Linked List Insertion/Deletion and Quicksort. Our experiments show that by carefully selecting an appropriate language, optimization flag and data structure, significant energy can be conserved for solving the same problem with identical input size.",http://dx.doi.org/10.1109/igcc.2014.7039169,"Abdulsalam S,Lakomski D,Gu Q,Jin T,Zong Z",Conference Paper,,,2014,,,,IEEE,,,International Green Computing Conference,2014 International Green Computing Conference (IGCC),"DALLAS, TX, USA",2014/11/3-2014/11/5,2014-11,,9.78148E+12,,,,,,,,
PWA vs the others: A comparative study on the UI energy-efficiency of progressive web apps,10.1007/978-3-030-74296-6_35,,http://dx.doi.org/10.1007/978-3-030-74296-6_35,"Huber S,Demetz L,Felderer M",Book Chapter,,,2021,,,464-479,Springer International Publishing,Cham,Lecture Notes in Computer Science,,,,,2021,,9.78303E+12,9.78303E+12,0302-9743,1611-3349,,,,,Lecture Notes in Computer Science
Quality-aware refactoring for early detection and resolution of energy deficiencies,10.1109/ucc.2013.70,"Software development processes usually target requirements regarding particular qualities in late iteration phases. The developed system is optimised in terms of quality issues, such as, e.g., energy efficiency, without altering the software's behaviour. Bad structures in terms of specific qualities can be considered as bad smells and refactorings can be used to resolve them to preserve its semantics. The problem is that no explicit relationship between smells, qualities and refactorings exists. Without such a relation it is not possible to give evidence about which quality requirements are not satisfied by detected smells. It cannot be specified which smells are resolved by particular refactorings. Thus, developers are not supported in focusing specific qualities and cannot detect and resolve badly structured code in combination. In this paper we present an approach for correlating smells, qualities and refactorings explicitly which supports to focus on specific qualities in early development phases already. We introduce the new term quality smell and come up with a metamodel and architecture enabling developers to establish such relations. A small evaluation regarding energy efficiency in Java code and discussion completes this paper.",http://dx.doi.org/10.1109/ucc.2013.70,"Reimann J,Assmann U",Conference Paper,,,2013,,,,IEEE,,,2013 IEEE/ACM 6th International Conference on Utility and Cloud Computing,2013 IEEE/ACM 6th International Conference on Utility and Cloud Computing (UCC),"Dresden, Germany",2013/12/9-2013/12/12,2013-12,,9.78077E+12,,,,,,,,
Ranking programming languages by energy efficiency,10.1016/j.scico.2021.102609,"This paper compares a large set of programming languages regarding their efficiency, including from an energetic point-of-view. Indeed, we seek to establish and analyze different rankings for programming languages based on their energy efficiency. The goal of being able to rank programming languages based on their energy efficiency is both recent, and certainly deserves further studies.
We have taken rigorous and strict solutions to 10 well defined programming problems, expressed in (up to) 27 programming languages, from the well known Computer Language Benchmark Game repository. This repository aims to compare programming languages based on a strict set of implementation rules and configurations for each benchmarking problem. We have also built a framework to automatically, and systematically, run, measure and compare the energy, time, and memory efficiency of such solutions. Ultimately, it is based on such comparisons that we propose a series of efficiency rankings, based on single and multiple criteria.
Our results show interesting findings, such as how slower/faster languages can consume less/more energy, and how memory usage influences energy consumption. We also present a simple way to use our results to provide software engineers and practitioners support in deciding which language to use when energy efficiency is a concern.
In addition, we further validate our results and rankings against implementations from a chrestomathy program repository, Rosetta Code., by reproducing our methodology and benchmarking system. This allows us to understand how the results and conclusions from our rigorously and well defined benchmarked programs compare to those based on more representative and real-world implementations. Indeed our results show that the rankings do not change apart from one programming language.",http://dx.doi.org/10.1016/j.scico.2021.102609,"Pereira R,Couto M,Ribeiro F,Rua R,Cunha J,Fernandes JP,Saraiva J",Journal Article,Sci. Comput. Program.,Science of Computer Programming,2021,205,102609,102609,Elsevier BV,,,,,,,2021-05,,,,0167-6423,1872-7964,,http://www.elsevier.com/open-access/userlicense/1.0/,,en,
Refactorings for Energy-Efficiency,10.1007/978-3-319-23455-7_5,"Energy-efficiency is an important topic in information and communication technology and has to be considered for mobile devices, in particular. On the one hand, the environment should be protected by consuming less energy. On the other hand, users are also interested in more functionality of their mobile devices on hardware and software side, and at the same time, longer battery durations are expected. Hence, the energy consumption for mobile devices should be more efficient. This paper shows an approach to save energy on application level on mobile devices. This approach includes the definition, detection, and restructuring of energy-inefficient code parts within apps. Energy savings are validated by different software-based energy measurement techniques.",http://dx.doi.org/10.1007/978-3-319-23455-7_5,"Gottschalk M,Jelschen J,Winter A",Book Chapter,,,2016,,,77-96,Springer International Publishing,Cham,Progress in IS,,,,,2016,,9.78332E+12,9.78332E+12,2196-8705,2196-8713,,https://www.springernature.com/gp/researchers/text-and-data-mining,,,
Runtime monitoring of software energy hotspots,10.1145/2351676.2351699,"GreenIT has emerged as a discipline concerned with the optimization of software solutions with regards to their energy consumption. In this domain, most of the state-of-the-art solutions concentrate on coarse-grained approaches to monitor the energy consumption of a device or a process. However, none of the existing solutions addresses in-process energy monitoring to provide in-depth analysis of a process energy consumption. In this paper, we therefore report on a fine-grained runtime energy monitoring framework we developed to help developers to diagnose energy hotspots with a better accuracy than the state-of-the-art. Concretely, our approach adopts a 2-layer architecture including OS-level and process-level energy monitoring. OS-level energy monitoring estimates the energy consumption of processes according to different hardware devices (CPU, network card). Process-level energy monitoring focuses on Java-based applications and builds on OS-level energy monitoring to provide an estimation of energy consumption at the granularity of classes and methods. We argue that this per-method analysis of energy consumption provides better insights to the application in order to identify potential energy hotspots. In particular, our preliminary validation demonstrates that we can monitor energy hotspots of Jetty web servers and monitor their variations under stress scenarios.",http://dx.doi.org/10.1145/2351676.2351699,"Noureddine A,Bourdon A,Rouvoy R,Seinturier L",Conference Paper,,,2012,,,,ACM,"New York, NY, USA",,Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering,ASE'12: IEEE/ACM International Conference on Automated Software Engineering,Essen Germany,2012/9/3-2012/9/7,9/3/12,,9.78145E+12,,,,,,"INRIA, France / University of Lille, France; INRIA, France / University of Lille, France / Institut Universitaire de France, France",,
Saving energy on mobile devices by refactoring,,"Energy-efficiency is an import topic in information and communication technology and has to be considered for mobile devices, in particular. On the one hand, the environment should be protected by consuming less energy. On the other hand, users are also interested in more functionality of their mobile devices on hardware and software side, and at the same time, longer battery durations are expected. This paper shows an approach to save energy on the application level on mobile devices. This approach includes the definition, detection, and restructuring of energy-inefficient code parts. Energy savings are validated by different energy measurement techniques.",https://se.uni-oldenburg.de/documents/gottschalk+2014.pdf,"Gottschalk M, Jelschen J, Winter A",Website,"SEKE(Knowledge Systems Institute, 2014)",,,,,,,,,,,,,,3/23/26,,,,,,,,,
