Title,Authors,Year,Abstract,DOI,Type,Venue,Domain,Research_Keywords,Research_Approach,Context,Contribution
Measuring and Analysing Erlang's Energy Usage," Tóth, Melinda; Youssef, Gharbi;  Bozó, István",2024,"Energy efficiency in software development has become an increasingly important research area in recent years. Previous studies investigated the impact of programming language and coding practices on energy consumption. The studies show that the Erlang programming language consumes more energy compared to other languages. In this paper, we would like to demonstrate that Erlang's energy behaviour is significantly better than the previous thought when a problem close to Erlang's design is measured. Therefore, when we are creating green software, we need to consider not only the programming language but also the problem domain. ",10.1109/MIPRO60963.2024.10569977,Conference paper,,Software Engineering,Erlang; Energy Consumption; Programming Language Evaluation; Problem Domain; Problem Domain; Programming Languages,Validation Research,Software systems evaluated by measuring energy usage of Erlang programs in problem domains aligned with the language design showing that erlang's energy consumption depends strongly on the problem domain and can be more efficient than previously assumed,Empirical evidence
Mining energy traces to aid in software development: An empirical case study," Bird, Christian A.;  Nagappan, Nachiappan;  Emran, Syed;  Zimmermann, Thomas;  Bhat, Thirumalesh; Gupta, Ashish",2014,"Context: With the advent of increased computing on mobile devices such as phones and tablets, it has become crucial to pay attention to the energy consumption of mobile applications. Goal: The software engineering field is now faced with a whole new spectrum of energy-related challenges, ranging from power budgeting to testing and debugging the energy consumption, for which exists only limited tool support. The goal of this work is to provide techniques to engineers to analyze power consumption and detect anomalies. Method: In this paper, we present our work on analyzing energy patterns for the Windows Phone platform. We first describe the data that is collected for testing (power traces and execution logs). We then present several approaches for describing power consumption and detecting anomalous energy patterns and potential energy defects. Finally we show prediction models based on usage of individual modules that can estimate the overall energy consumption with high accuracy. Results: The techniques in this paper were successful in modeling and estimating power consumption and in detecting anomalies. Conclusions: The techniques presented in the paper allow assessing the individual impact of modules on the overall energy consumption and support overall energy planning. ",10.1145/2652524.2652578,Conference paper,International Symposium on Empirical Software Engineering and Measurement,Mobile Software Engineering,Energy Traces; Energy Profiling; Energy Consumption; Prediction; Energy Awareness; Software Analysis,Validation Research,Mobile applications on the Windows Phone platform analyzed using collected power traces and execution logs for mining energy traces to detect anomalies and estimate module-level and system-level energy consumption,Empirical evidence
Mining energy-aware commits," Castor, Fernando;  Pinto, Gustavo Henrique Lima; Moura, Irineu;  Ebert, Felipe",2015,"Over the last years, energy consumption has become a first-class citizen in software development practice. While energy-efficient solutions on lower-level layers of the software stack are well-established, there is convincing evidence that even better results can be achieved by encouraging practitioners to participate in the process. For instance, previous work has shown that using a newer version of a concurrent data structure can yield a 2.19x energy savings when compared to the old associative implementation [75]. Nonetheless, little is known about how much software engineers are employing energy-efficient solutions in their applications and what solutions they employ for improving energy-efficiency. In this paper we present a qualitative study of 'energy-aware commits'. Using Github as our primary data source, we perform a thorough analysis on an initial sample of 2,189 commits and carefully curate a set of 371 energy-aware commits spread over 317 real-world non-trivial applications. Our study reveals that software developers heavily rely on low-level energy management approaches, such as frequency scaling and multiple levels of idleness. Also, our findings suggest that ill-chosen energy saving techniques can impact the correctness of an application. Yet, we found what we call 'energy-aware interfaces', which are means for clients (e.g., Developers or end-users) to save energy in their applications just by using a function, abstracting away the low-level implementation details. ",10.1109/MSR.2015.13,Conference paper,IEEE International Working Conference on Mining Software Repositories,Software Engineering,Energy-Aware Commits; Mining Software Repositories; Energy Optimization; Developer Practices; Energy Awareness; Software Development,Evaluation Research,"Large-scale analysis of real-world software repositories on GitHub providing empirical insights into how developers apply energy-aware solutions in practice, including identified patterns, pitfalls, and energy-aware interfaces",Empirical evidence
Native or web? A preliminary study on the energy consumption of android development models,"Oliveira, Wellington;  Castor, Fernando;  Ximenes, Bianca Helena;  Torres, Weslley",2016,"Energy consumption has become an increasingly important topic in software development, especially due to the ubiquity of mobile devices, and the choice of programming language can directly impact battery life. This paper presents a study on the issue of energy efficiency on the Android platform, comparing the performance and energy consumption of 33 different benchmarks in the two main programming languages employed in Android development: Java and JavaScript. Preliminary results show that Java applications may consume up to 36.27x more energy, with a median of 2.28x, than their JavaScript counterparts, in benchmarks that are mostly CPU-intensive. In some scenarios, though, Java benchmarks exhibited better energy efficiency, with JavaScript consuming up to 2.27x more energy. Based on these results, two Java applications were re-engineered, and through the insertion of JavaScript functions, hybrid applications were produced. In both cases, improvements in energy efficiency were obtained. Considering that Android apps written in Java are the norm, results from this study indicate that using a combination of JavaScript and Java may lead to a non-negligible improvement in energy efficiency. ",10.1109/SANER.2016.93,Conference paper,,Mobile Software Engineering,Android Development Models; Energy Consumption; Java; JavaScript; Hybrid Implementations;Energy Efficiency,Validation Research,Android applications evaluated using benchmark programs and hybrid implementations resulting in empirical evidence of the energy consumption of native Java and web-based JavaScript Android development models and evidence of energy savings through hybrid approaches,Empirical evidence
On the Energy Consumption of Web Applications: An Empirical Study of their Design Solutions," Niang, Boubou Thiam;  Shatnawi, Anas; Khrouf, Louay;  Verhaeghe, Benoit",2025,"Recent studies show that software systems account for approximately 6% of global energy consumption. Coupled with new regulations urging French organizations to adopt energy-efficient practices, this has increased the need for energy-conscious development methods. However, a key challenge remains the lack of detailed data on the impact of design solutions on software energy consumption, complicating efforts for software architects who must balance performance and energy efficiency. Without clear data on how design decisions - such as architectural styles, frameworks, and serialization methods - affect energy use, optimizing both performance and sustainability is difficult. Most existing studies on software energy consumption focus on small-scale projects and technologies irrelevant to Berger-Levrault's environment, where this study was conducted. To address this, we propose a methodology to evaluate the energy consumption of alternative design solutions using the Dynatrace Carbon Impact module, chosen for its compatibility with virtualized and cloud-based environments, and NeoLoad performance testing, selected for its compatibility with Berger-Levrault's specific technologies. Using this approach, we compared two versions of the same application: a legacy version built with Citrix, Java Swing, and RPC, and a modern version using Angular, Spring Boot, and REST. We also evaluated Protobuf versus JSON serialization. Our findings show that adopting Angular for the frontend and Spring Boot for the backend reduces overall energy consumption by approximately 70%. The Angular frontend uses 30 times less energy than Java Swing. Furthermore, Protobuf serialization reduces energy usage by 33% compared to JSON, due to its faster processing and lower memory requirements. These results highlight the energy-saving potential of modern web technologies and optimized data formats for sustainable software development. ",10.1109/GREENS66463.2025.00012,Conference paper,,Software Architecture,Web Applications; Energy Consumption; Architectural Styles; Serialization Formats; Energy Efficiency; Software Engineering,Evaluation Research,"Enterprise web applications evaluated in virtualized/cloud environment using performance and energy monitoring tools giving empirical evidence of the energy impact of alternative web design solutions, including frontedn frameworks, backend architectures, and serialization methods",Empirical evidence
On the impact of code smells on the energy consumption of mobile applications," Di Nucci, Dario;  De Lucia, Andrea;  Panichella, Annibale; Palomba, Fabio;  Zaidman, Andy",2019,"Context. The demand for green software design is steadily growing higher especially in the context of mobile devices, where the computation is often limited by battery life. Previous studies found how wrong programming solutions have a strong impact on the energy consumption. Objective. Despite the efforts spent so far, only a little knowledge on the influence of code smells, i.e.,symptoms of poor design or implementation choices, on the energy consumption of mobile applications is available. Method. To provide a wider overview on the relationship between smells and energy efficiency, in this paper we conducted a large-scale empirical study on the influence of 9 Android-specific code smells on the energy consumption of 60 Android apps. In particular, we focus our attention on the design flaws that are theoretically supposed to be related to non-functional attributes of source code, such as performance and energy consumption. Results. The results of the study highlight that methods affected by four code smell types, i.e.,Internal Setter, Leaking Thread, Member Ignoring Method, and Slow Loop, consume up to 87 times more than methods affected by other code smells. Moreover, we found that refactoring these code smells reduces energy consumption in all of the situations. Conclusions. Based on our findings, we argue that more research aimed at designing automatic refactoring approaches and tools for mobile apps is needed. ",10.1016/j.infsof.2018.08.004,Article,Information and Software Technology,Code Smells,Code Quality; Refactoring; Mobile Applications; Energy Efficiency; Software Analysis; Empirical Research,Evaluation Research,Evaluationg 9 android specific code smells regarding their impact on energy consumption of 60 android apps,Empirical evidence
Optimising Energy Consumption of Design Patterns," Rajan, Ajitha; Noureddine, Adel; A. Noureddine;  A. Rajan",2015,"Software design patterns are widely used in software engineering to enhance productivity and maintainability.However, recent empirical studies revealed the high energy overhead in these patterns. Our vision is to automatically detect and transform design patterns during compilation for better energy efficiency without impacting existing coding practices. In this paper, we propose compiler transformations for two design patterns, Observer and Decorator, and perform an initial evaluation of their energy efficiency. ",10.1109/ICSE.2015.208,IEEE Conferences,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,Design Patterns,Design Patterns; Compiler Transformations; Energy Optimization; Observer Pattern; Decorator Pattern; Energy Efficiency; Software Engineering,Validation Research,Software applications analyzed at compile time using pattern-specific compiler transformations  for optimizing the energy consumption of design patterns with an initial empirical evaluation,Empirical evidence
Power consumption aware software architecture for M-health applications with adaptive security of network protocols," Zlatanovic, Jovica;  N. Stojanovic;  E. Milovanovic; V. Ciric; Ćirić, Vladimir M.;  Stojanovic, Nenad;  Milovanović, Eminai I.;  J. Zlatanovic",2015,"The goal of this paper is development of software architecture for mobile devices, which is able to trade-off between security levels and power consumption. The analysis of the influence of different security protocols on power consumption is given. The proposed architecture is described in detail. Three different security levels with corresponding cipher suites are proposed: low, medium and high. The architecture is implemented on Android platform. The difference in power consumptions of the cipher suites in high and low security/power profiles is around 8.2% for WiFi, and 9.6% for 3G network. In order to further reduce the power consumption during network communication, the delay between sending two successive packets is analyzed. The proposed architecture is capable of stalling packets and sending them in burst-mode, letting the network interface to stay in low-power mode for a longer period of time. The power consumption in this mode is reduced for additional 25%. ",10.1109/TELSKS.2015.7357791,IEEE Conferences,"2015 12th International Conference on Telecommunication in Modern Satellite, Cable and Broadcasting Services (TELSIKS)",Software Architecture,Power-Aware Architecture; Mobile Health (M-Health); Security Protocols; Energy Consumption; Mobile Applications; Energy Efficiency; Secure Systems,Validation Research,Android-based m-health applications evaluated under different network protocols and security configurations for a power-aware mobile software architecture that dynamically trades off security levels and energy consumption through adaptive protocol selection and burst- based communication,Software Architecture
Practical Sustainable Software Development in Architectural Flexibility for Energy Efficiency Using the Extended Agile Framework," Netinant, Paniti; Soongpol, Buerian;  Rukhiran, Meennapa",2024,"Many regular business operations are transforming into digital services, increasing advanced multi-platforms, rapid operational alignment, flexibility, and environmental impact through energy consumption, hardware waste, and technology investments. Flexible and sustainable system development models emphasizing energy efficiency can help innovate software development as digital servicing applications shift. This research is motivated by the need to improve energy consumption in early software design and development due to rising technological efficiency and sustainability demands. Although effective in iterative development and stakeholder engagement, traditional Agile methodologies often struggle with long-term sustainability and energy efficiency. Extended Agile, combining Agile, layered architecture, and aspect-oriented frameworks (ALAI), promises to improve system modularity, flexibility, maintainability, and sustainability. This study’s findings are not just theoretical, but also practically relevant, as they explore the energy efficiency of ALAI software development methodologies, using graduate admission information system services (GAISS) as an example. GAISS is a complex system that handles the entire process of graduate admissions, from application submission to final decision. The study quantifies the energy usage of a student-list webpage by analyzing Microsoft IIS server logs from February 2022 to May 2024. Directly applicable findings show that the GAISS based on the ALAI framework reduces energy consumption by 10.7914% compared to traditional Agile software developments. ALAI used 892.80 kWh versus Agile’s 1000.80 kWh during operations, saving energy. These findings demonstrate the benefits of integrating aspect-oriented frameworks and layering approaches into Agile methodologies, contributing to sustainable software development discourse. The study emphasizes the importance of energy-efficient frameworks such as ALAI to reduce software systems’ environmental impact and promote software development sustainability. The findings of this study, with their practical relevance, assist software developers and organizations in choosing software design and development methods that maximize operational efficiency and environmental sustainability. ",10.3390/su16135738,Article,Sustainability (Switzerland),Software Architecture,Energy Efficiency; Agile Software Development; Architectural Flexibility; Modularity; Flexibility; Maintainability; Sustainability; Aspect-Oriented Frameworks; Microsoft IIS; Methodologies; Sustainable Software Engineering,Evaluation Research,Enterprise information system developed using Agile-layering aspect-oriented framework (ALAI) and evaluated through operational energy measurements compared to traditional Agile development,Empirical evidence
Programming Techniques for Energy-Efficient Software,"Iossifov, Vesselin",2021,"Software is becoming a central issue in decreasing the power consumption in low-power programmable computer systems. In such systems the amount of energy consumption caused by software has several impact of the systems costs. Minimizing power consumption is one of the primary challenges that applications developers faces due to lack of the running cost (x86 based computer) or the instrumentation functionality (Embedded Systems) of the system. This talk will focus on different prospects of energy usage and energy aware software design in computer systems mainly in Embedded Systems. Some examples of the role of programming techniques to rise the system energy efficiency, quantify the impact and fix the issues in applications to minimize the power consumption will be presented. The limits and differences in application of these techniques to x86 based server or HPC will be discussed. ",10.1007/978-3-030-71616-5_15,Conference paper,Studies in Computational Intelligence,Embedded Software Engineering,Energy-Aware Programming; Programming Techniques; Power Consumption; Embedded Systems; Energy Efficiency; Software Engineering,Validation Research,Embedded and low-power software systems analyzed using measured energy profiles to evaluate programming techniques and their impact on software energy consumption,Empirical evidence
Removing Decorator to Improve Energy Efficiency,"Connolly Bree, Deaglan;  Ó Cinnéide, Mel;  M. Ó. Cinnéide; D. Connolly Bree",2022,"With growing concerns regarding climate change and rising energy costs, there is an increased focus on improving the energy efficiency of software. One relevant avenue of research is the transformation of software designs in order to increase efficiency and reduce energy consumption. Design Patterns are of interest here as the indirection they introduce is likely to have a detrimental effect on energy consumption. In this paper we report on our investigations into the impact on energy consumption of the Decorator pattern, which is a structural design pattern used to enable additional behaviour to be attached to an individual component dynamically. Application of this pattern improves the maintainability of software at the cost of increased indirection and redundancy, which may reduce energy efficiency. In this paper we explore features of the Decorator pattern that impact on its systematic removal, with a future goal of removing this pattern using automated refactoring. We subsequently examine experimentally the Decorator pattern's impact on energy consumption in Java and find its implementation results in an increased number of instantiated objects and method invocations at run-time. The removal of the pattern can result in up to a 96% reduction in energy consumption in a best-case scenario with a textbook example, and up to a 5% reduction in energy consumption in an open-source project with a case study examining JUnit, a popular unit testing framework for Java. These results demonstrate the energy savings achievable with the removal of Decorator pattern instances and open the way for similar investigations of other design patterns. ",10.1109/SANER53432.2022.00108,IEEE Conferences,"2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",Design Patterns,Decorator Pattern; Energy Consumption; Refactoring; Object-Oriented Design; Energy Efficiency; Software Engineering,Validation Research,Java software systems evaluated through controlled experiments on texbook examples and an open-source project resulting in empirical evidence showing that removing the decorator design pattern can significantly reduce energy consumption in Java applications,Empirical evidence
Self-adaptive energy-efficent applications: The HADAS developing approach," Pinto, Mónica;  Fuentes, Lidia;  Gámez, Nadia; Horcas, José Miguel",2017,"Software systems have a strong impact on the energy consumption of the hardware they use. For this reason, software developers should be more aware of the energy consumed by their systems. Moreover, software systems should be developed to be able to adapt their behavior to minimize the energy consumed during their execution. This paper illustrates how to address the problem of developing self-adaptive energy-efficient applications using the HADAS approach. HADAS makes use of advanced software engineering methods, such as Dynamic Software Product Lines and Aspect-Oriented Software Development. The main steps of the HADAS approach, both during the design of the application and also at runtime are illustrated by applying them to a running case study. ",10.1109/DASC-PICom-DataCom-CyberSciTec.2017.140,Conference paper,,Software Engineering,Self-Adaptive Applications; Energy Efficiency; Dynamic Software Product Lines; Aspect-Oriented Development; Self-Adaptive Software Systems; Energy Efficiency,Validation Research,"Software applications designed and executed with runtime adaption mechanisms, illustrated through a running case study resulting in a development approach (HADAS) for building self-adaptive applications that dynamically adjust their behavior to reduce energy consumption",Conceptual Framework
Software Architectural Transformations: A New Approach to Low Energy Embedded Software,"Tan, T. K.;  Jha, N. K.;  Raghunathan, A.",2003,"Previous work on software optimization for low energy has focussed on instruction-level optimizations and compiler techniques. We argue, and demonstrate, that significant energy saviings could be ""left on the table"" if energy is not considered during the design of the software architecture. As a first step towards addressing this gap, we propose a systematic framework for software architectural transformations to reduce energy consumption. We consider software architectural transformations in the context of the multi-process software style driven by an operating system (OS), which is very commonly employed in energy-sensitive embedded systems. Our methodology for applying software architectural transformations consists of: (i) constructing a software architecture graph representation, (ii) deriving initial energy and performance statistics using a detailed energy simulation framework, (iii) constructing sequences of atomic software architectural transformations, guided by energy change estimates derived from high-level energy macro-models, that result in maximal energy reduction, and (iv) generation of program source code to reflect the optimized software architecture. We employ a wide suite of software architectural transformations whose effects span the application-OS boundary, including how the program functionality is structured into architectural components (e.g., Application processes, signal handlers, and device drivers), and connectors between them (inter-component synchronization and communication mechanisms). We present experimental results on several multi-process embedded software programs, in the context of an embedded system that features the Intel StrongARM processor and the embedded Linux OS. The presented results clearly underscore the potential of the proposed methodology (up to 66.1% reduction in energy is obtained). In a broader sense, our work demonstrates the impact of considering energy during the earlier stages of the software design process.",,inproceedings,"Proceedings of the Conference on Design, Automation and Test in Europe - Volume 1",Software Architecture,Software Architectural Transformations; Energy Optimization; Embedded Systems; Design-Time Analysis; Embedded Software Design; Energy Efficiency; Software Engineering,Validation Research,Multi-process embedded software systems evaluated on an embedded Linux platform with energy simulation and experimental measurements for a systematic framework for applying software arcitectural transformations to significantly reduce energy consumption in embedded systems,Conceptual Framework
Software implementation strategies for power-conscious systems,"Naik, Kshirasagar S.;  Wei, David S.L.",2001,"A variety of systems with possibly embedded computing power, such as small portable robots, hand-held computers, and automated vehicles, have power supply constraints. Their batteries generally last only for a few hours before being replaced or recharged. It is important that all design efforts are made to conserve power in those systems. Energy consumption in a system can be reduced using a number of techniques, such as low-power electronics, architecture-level power reduction, compiler techniques, to name just a few. However, energy conservation at the application software-level has not yet been explored. In this paper, we show the impact of various software implementation techniques on energy saving. Based on the observation that different instructions of a processor cost different amount of energy, we propose three energy saving strategies, namely (i) assigning live variables to registers, (ii) avoiding repetitive address computations, and (iii) minimizing memory accesses. We also study how a variety of algorithm design and implementation techniques affect energy consumption. In particular, we focus on the following aspects: (i) recursive versus iterative (with stacks and without stacks), (ii) different representations of the same algorithm, (iii) different algorithms - with identical asymptotic complexity - for the same problem, and (iv) different input representations. We demonstrate the energy saving capabilities of these approaches by studying a variety of applications related to power-conscious systems, such as sorting, pattern matching, matrix operations, depth-first search, and dynamic programming. From our experimental results, we conclude that by suitably choosing an algorithm for a problem and applying the energy saving techniques, energy savings in excess of 60% can be achieved. ",10.1023/A:1011487018981,Article,Mobile Networks and Applications,Embedded Software Engineering,Energy-Aware Programming; Software Implementation Strategies; Algorithm Design; Power Consumption; Application-Level Software Engineering; Energy Efficiency,Validation Research,Power-constrained systems evaluated through experimental analysis of software implementations and algorithms to provide empirical evidence that software implementation strategies and algorithm choices can substantially reduced energy consumption in power-constrained systems,Empirical evidence
Software power optimization: Analysis and optimization for energy-efficient software,M. R. Sabharwal,2011,"Software is increasingly becoming a central issue in low power consumer based system. The amount of energy consumed by software has severe battery impact on the system. Minimizing power consumption is one of the primary challenges that today's developers faces due to lack of instrumentation functionality in the system. This tutorial will cover different prospect of energy usage and energy aware software design in system ranging from notebooks to smartphones/tablets. This tutorial will give special importance on the role of idle software in attain overall system energy efficiency. In Summary, this tutorial will give overview of software impact on hardware, quantify the impact and fix the issues in applications to extend the battery life.",10.1109/ISLPED.2011.5993607,IEEE Conferences,IEEE/ACM International Symposium on Low Power Electronics and Design,Software Engineering,Software Power Optimization; Energy-Aware Software Design; Idle Software; Battery Life; Energy Efficiency,Philosophical Paper,"General-purpose and mobile computing systems, ranigng from notebooks to smartphones and tables providing a tutorial-style overview of software power optimization concepts, techniques, and practical considerations for improving energy efficiency",Conceptual Framework
Sustainability-Aware Software Architecting for the Future Cloud,"Fatima, Iffat",2023,"The ever-increasing digitization has created the need to address global sustainability goals at the software level. Designing the architecture for the sustainability of software-intensive systems is a grand challenge of contemporary software engineering. For cloud-based solutions, where software, platform and infrastructure are delivered as-a-service (XaaS), this under-taking becomes even more challenging due to the opaqueness of services and the diverse set of stakeholders involved. In the context of cloud computing, the primary focus of research has been on addressing the energy consumption and carbon footprint of data centers in terms of their environmental impact. This creates an emerging need to assess sustainability across other sustainability dimensions for its social, economic and technical impacts, too. Through our research, we aim to develop a sustainability-aware architecting framework for Cloud-Based Software Services (CBSSs) that enables practitioners to evaluate and design sustainability-aware architectures. We envision this framework to consist of guidelines, tactics, tools, or methods for delivering sustainability-aware architectures for CBSSs. Furthermore, we aim to evaluate the sustainability awareness of such architectures through sustainability indicators across all four sustainability dimensions (4D-sustainability) i.e. economic, technical, environmental and social. ",10.1109/ICSA-C57050.2023.00041,Conference paper,,Software Architecture,Sustainability-Aware Architecture; Cloud Computing; Software Sustainability; Architectural Frameworks; Sustainable Software Engineering,Solution Proposal,"Cloud-based software services (XaaS) considered at architectural design time using a sustainability-aware architectural framework encompassing environmental, economic, technical, and social sustainability dimensions for cloud-based systems",Conceptual Framework
Sustainable Software Design,"Engel, Michael",2015,"The sustainability of software depends on direct effects, which result from executing programs, as well as indirect effects, which influence the sustainability of the product incorporating the software. Indirect effects are caused, e.g., by planned obsolescence when a device manufacturer stops to provide software updates, rendering the device useless.In order to optimise direct effects, tools are required which provide methods for energy modelling and to analyse and optimize the energy consumption of a given program. Indirect effects are harder to assess, since their optimization requires changing economical incentives. However, it is important to optimise both kinds of effect in order to provide sustainable software, since the amount of energy consumed during the operation of a device is in the same order of magnitude as the energy used during its production.This chapter gives an overview of the various parameters involved and provides links to publications discussing optimization approaches. ",10.1016/B978-0-12-801379-3.00007-3,Book chapter,,Software Engineering,Software Sustainability; Energy Consumption; Direct and Indirect Effects; Energy Modelling; Sustainable Software Design,Philosophical Paper,"Software systems considered across their lifecycle, including operational and socio-economic impacts resulting in a conceptual overview of sustainable software design, distinguishing direct and indirect effects and summarizing existing optimization approaches",Conceptual Framework
Techniques for low energy software, R. Chen;  R. M. Owens;  M. J. Irwin;  D. Ghosh; R. Mehta,1997,"The energy consumption of a system depends upon the hardware and software component of a system. Since it is the software which drives the hardware in most systems, decisions taken during software design has significant impact on the energy consumption of the processor. The paper focuses on decreasing energy consumption of a processor using software techniques. A novel compiler technique is proposed which reduces energy consumption by proper register labeling during the compilation phase. The idea behind this technique is to reduce the energy of the processor by reducing the energy of the instruction register (also the instruction data bus) and the register file decoder by encoding the register labels such that the sum of the switching costs between all the register labels in the transition graph is minimized. There is no hardware penalty since this is purely a compiler optimization. Results on benchmarks show that the energy consumption of the DLX processor can be reduced by 9.82% (maximum) and 4.25% (average) (as measured by DLX energy simulator). In addition several compiler techniques such as loop unrolling, software pipelining, recursion elimination and of effects of different algorithms on power and energy consumption are studied. This evaluation methodology is useful for computer architects to evaluate energy improvements of their hardware, compiler writers to evaluate energy of the compiled code and program writers to evaluate energy of data structures and algorithms.",10.1145/263272.263286,IEEE Conferences,Proceedings of 1997 International Symposium on Low Power Electronics and Design,Software Engineering,Low-Energy Software; Compiler Optimization; Register Allocation; Energy Consumption; Compiler; System Software; Energy Efficiency,Validation Research,"Processor-level software evaluated using benchmark programs and energy simulation for a compiler-based technique for reducing processor energy consumption through energy-aware register labeling, supported by simulation-based evaluation",Method
The hunt for the guzzler: Architecture-based energy profiling using stubs,"Jagroep, Erik A.;  Brinkkemper, Sjaak;  Hage, Jurriaan;  van Vliet, Rob;  van der Werf, Jan Martijn;  Blom, Leen;  van der Ent, Arjan",2018,"Context: Software producing organizations have the ability to address the energy impact of their software products through their source code and software architecture. In spite of that, the focus often remains on hardware aspects, which limits the contribution of software towards energy efficient ICT solutions. Objective: No methods exist to provide software architects information about the energy consumption of the different components in their software product. The objective of this paper is to bring software producing organizations in control of this qualitative aspect of their software. Method: To achieve the objective, we developed the StEP Method to systematically investigate the effects of software units through the use of software stubs in relation to energy concerns. To evaluate the proposed method, an experiment involving three different versions of a commercial software product has been conducted. In the experiment, two versions of a software product were stubbed according to stakeholder concerns and stressed according to a test case, whilst energy consumption measurements were performed. The method provided guidance for the experiment and all activities were documented for future purposes. Results: Comparing energy consumption differences across versions unraveled the energy consumption related to the products’ core functionality. Using the energy profile, stakeholders could identify the major energy consuming elements and prioritize software engineering efforts to maximize impact. Conclusions: We introduce the StEP Method and demonstrate its applicability in an industrial setting. The method identified energy hotspots and thereby improved the control stakeholders have over the sustainability of a software product. Despite promising results, several concerns are identified that require further attention to improve the method. For instance, we recommend the investigation of software operation data to determine, and possibly automatically create, stubs. ",10.1016/j.infsof.2017.12.003,Article,Information and Software Technology,Software Architecture,Energy Profiling; Architecture-Based Analysis; Software Stubs; Energy Hotspots; Energy Awareness; Software Engineering,Evaluation Research,Industrial software product evaluated through controlled experiments on multiple system versions using software stubs to isolate architectural components and measure their energy consumption for identifying energy hotspots and providing empirical evidence on the effectiveness of architecture-based energy profiling,Method
The impact of Distributed programming abstractions on application energy consumption,"Kwon, Young-woo;  Tilevich, Eli",2013,"With battery capacities remaining a key physical constraint for mobile devices, energy efficiency has become an important software design consideration. Distributed programming abstractions (e.g., sockets, RPC, messages, etc.) are an essential component of modern software, but their energy consumption characteristics are poorly understood. The programmer has few practical guidelines to choose the right abstraction for energy-constrained scenarios. In this article, we report on the findings of a systematic study we conducted to compare and contrast major distributed programming abstractions in terms of their energy consumption patterns. By varying the abstractions with the rest of the functionality fixed, we measure and analyze the impact of distributed programming abstractions on application energy consumption. Based on our findings, we present a set of practical guidelines for the programmer to select an abstraction that satisfies the energy consumption constraints in place. Our other guidelines can steer future efforts in creating energy efficient distributed programming abstractions. © 2013 Elsevier B.V. All rights reserved. ",10.1016/j.infsof.2013.02.014,Article,Information and Software Technology,Software Engineering,Distributed Programming Abstractions; Energy Consumption; RPC; Sockets; Communication; Distributed Software Systems; Energy Efficiency; Software Design,Validation Research,Software applications evaluated by varying distributed programming abstractions under controlled experimental conditions to provide empirical evidence on the energy consumption of different distributed programming abstractions and their trade-offs in distributed software systems,Empirical evidence
Towards Sustainable Software Engineering: A Green Computing Approach," Rauf, Minahil; Kalsum, Tehmina;  Ramzan, Hafiz Arslan;  Abdullah, Fatima;  Ramzan, Sadia;  Musa, Syed Muhammad Ali",2024,"The field of software engineering is evolving toward sustainability in an era where the effects of technology on the environment are becoming more and more apparent. To investigate methods for reducing the environmental impact of software systems, this article explores the relationship between software engineering and green computing. To promote a more sustainable digital environment, we establish best practices and methodology for implementing green computing principles into the software engineering process through empirical analysis and case studies. The study emphasizes how important it is to achieve sustainable software engineering using resource optimization, green deployment strategies, energy-efficient design, and constant monitoring. This work highlights the significance of multidisciplinary innovation and collaboration in driving the transition to sustainable software development by showcasing real-world applications and their obvious advantages. ",10.1109/ICIC63915.2024.11116549,Conference paper,,Software Engineering,Sustainable Software Engineering; Green Computing; Energy Efficiency; Resource Optimization; Green Software Engineering,Validation Research,Software engineering processes and real-world software systems analyzed through empirical studies and case studies providing empirical insights and best practices for integrating green computing principles into software engineering to improve sustainability,Empirical evidence
Towards a Knowledge Base of Common Sustainability Weaknesses in Green Software Development," Mehra, Rohit;  Podder, Sanjay; Pathania, Priyavanshi;  Sharma, Vibhu Saujanya;  Kaulgud, Vikrant S.;  Burden, Adam P.",2023,"With the climate crisis looming, engineering sustainable software systems become crucial to optimize resource utilization, minimize environmental impact, and foster a greener, more resilient digital ecosystem. For developers, getting access to automated tools that analyze code and suggest sustainability-related optimizations becomes extremely important from a learning and implementation perspective. However, there is currently a dearth of such tools due to the lack of standardized knowledge, which serves as the foundation of these tools. In this paper, we motivate the need for the development of a standard knowledge base of commonly occurring sustainability weaknesses in code, and propose an initial way of doing that. Furthermore, through preliminary experiments, we demonstrate why existing knowledge regarding software weaknesses cannot be re-tagged 'as is' to sustainability without significant due diligence, thereby urging further explorations in this ecologically significant domain. ",10.1109/ASE56229.2023.00204,Conference paper,,Software Engineering,Sustainability Weaknesses; Knowledge Base; Green Software Development; Automated Tooling; Sustainable Software Engineering,Validation Research,"Software code analyzed conceptually and through preliminary experiments to assess sustainability-related weaknesses and propose an initial knowledge base of common sustainability weaknesses in software, with preliminary experimental evidence higlighting limitations of reusing existing weakness taxonomies",Proposal
